 address,district_title,deputies
"вулиця А.Куїнджі  90, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця А.Куїнджі  94, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця А.Куїнджі  96, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця А.Куїнджі  98, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Архітектора Нільсена  60, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Архітектора Нільсена  62, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Архітектора Нільсена  64, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Архітектора Нільсена  71, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Євпаторійська 45, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Євпаторійська 47, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Євпаторійська 56, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Кафайська 106, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Кафайська 10в, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Кафайська 11/2, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Кафайська 58, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Кафайська 60, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Миколаївська 81, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Миколаївська 83, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Митрополитська  51, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Фонтанна 64А, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Фонтанна 68, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Фонтанна 85, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"вулиця Фонтанна 87, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"Приморський парк 1, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 6, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 64, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 67, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 69, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 71, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 73, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 77, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 79, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 81, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 83, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 85, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 87, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 89, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 91, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 93, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 95, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"проспект Металургів 97, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
"ул. Фонтанная 87, Маріуполь",Округ №10,Нефьодова Інна Михайлівна
" , Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"бульвар Меотиди  18, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"бульвар Меотиди  32/18, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"бульвар Меотиди  34, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"бульвар Меотиди  36, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"бульвар Меотиди  38, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"бульвар Меотиди  44, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"Володимирська 54, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вул. Волгодонська 5, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вул. Пашковського , Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вул., Пашковського , Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вул., Пашковського, 26 , Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця  Менделєєва 10, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця  Менделєєва 14, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця  Менделєєва 19, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця  Менделєєва 22/70, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця  Менделєєва 25, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця  Менделєєва 27, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця  Менделєєва 33а, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця  Менделєєва 34, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця  Менделєєва 6, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Волгодонська 1/20, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Волгодонська 11, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Волгодонська 12, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Волгодонська 3, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Волгодонська 5, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Волгодонська 7, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Волгодонська 9, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 13, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 15, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 19, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 2/6, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 21, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 23, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 23/53, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 31, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 33, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 35, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 36, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Володимирська 47/21, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Міклухо-Маклая 3, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Московська 32, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Московська 32/9, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Московська 34, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Московська 36/2, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 1, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 11, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 14, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 15, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 19, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 21/46, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 22/40, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 23/27, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 24, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 24/27, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 25, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 26, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 27, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 3, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 30, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 31, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 32, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 33, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 34, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 35, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 35/38, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 37, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 38а, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 39, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 41, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 43, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 43/5, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 47, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Пашковського 9, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Слюсарна 7а, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"вулиця Слюсарна 8, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"Пашковського 43/5, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"пр. Перемоги 58, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Аносова 12, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Аносова 14, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Аносова 4, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Київський 10, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Київський 12, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Київський 14, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Київський 16, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Київський 20, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Київський 22, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Київський 24, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Лікувальний 11, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"провулок Лікувальний 150, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 107/21, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 17, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 18, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 18/5, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 24/19, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 27, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 28, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 31, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 32/42, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 32\42, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 36/23, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 37, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 39, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 41, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 42, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 44, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 46, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 48, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 52, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 53, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 54, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 55, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 56, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 57, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 57/18, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 58, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 58/34, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 62, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"проспект Перемоги 73/14, Маріуполь",Округ №11,"Полеопуло Олександр Георгійович, Федай Андрій Олександрович"
"Архітектора Нільсена (Енгельса) 39, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вул., Італійська , Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вул., Італійська, 92 , Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця А.Куїнджі  12, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця А.Куїнджі  19, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця А.Куїнджі  2, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця А.Куїнджі  21, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця А.Куїнджі  23, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця А.Куїнджі  4, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця А.Куїнджі  40, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця А.Куїнджі  44, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця А.Куїнджі  5, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  1, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  11, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  13, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  14, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  17, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  2, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  21, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  3, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  32, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  35, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  35а, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  38, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Архітектора Нільсена  8, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Георгіївська  64, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Георгіївська  72, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Георгіївська  76, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Грецька 10, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Грецька 14, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Грецька 20, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Грецька 4, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Грецька 8, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Грецька 9, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  105, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  109, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  111а, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  119, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  121, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  123, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  125, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  136а, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  140, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  17, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  46/48, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  65, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  67, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  6а, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  71, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  74, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  78, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  85, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  87, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  89, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  92, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  94, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  96, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська  97, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська 119, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Італійська 20, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Казанцева 18а, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Миколаївська 82, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 108, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 27, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 48, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 65, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 69, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 72, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 74, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 74Б, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 75, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 75б, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 84, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 86, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 90, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Пушкіна 94, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина      25, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 11, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 15, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 17, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 18, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 1а, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 20/2, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 22, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 23, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 24, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 25, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 27а, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 2а, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
"вулиця Семенішина 31 а, Маріуполь",Округ №12,"Бахалова Вікторія Валеріївна, Носенко Наталя Іванівна"
